,permno,mthcaldt,ticker,shrout,mthprc
35342,62834,1991-09-30,EC,44897.0,33.5
35343,62834,1991-10-31,EC,44897.0,31.5
35344,62834,1991-11-29,EC,44897.0,29.5
35345,62834,1991-12-31,EC,44969.0,32.5
35346,62834,1992-01-31,EC,44969.0,33.0
35347,62834,1992-02-28,EC,44969.0,36.625
35348,62834,1992-03-31,EC,44969.0,36.875
35349,62834,1992-04-30,EC,44969.0,37.375
35350,62834,1992-05-29,EC,44969.0,36.75
35351,62834,1992-06-30,EC,44835.0,40.5
35352,62834,1992-07-31,EC,44835.0,43.125
35353,62834,1992-08-31,EC,44835.0,42.625
35354,62834,1992-09-30,EC,67546.0,30.75
35355,62834,1992-10-30,EC,67546.0,32.375
35356,62834,1992-11-30,EC,67546.0,35.125
35357,62834,1992-12-31,EC,67102.0,34.375
35358,62834,1993-01-29,EC,67102.0,38.25
35359,62834,1993-02-26,EC,67102.0,43.5
35360,62834,1993-03-31,EC,65720.0,42.875
35361,62834,1993-04-30,EC,65720.0,33.75
35362,62834,1993-05-28,EC,65720.0,36.0
35363,62834,1993-06-30,EC,65685.0,37.5
35364,62834,1993-07-30,EC,65685.0,39.25
35365,62834,1993-08-31,EC,65685.0,41.0
35366,62834,1993-09-30,EC,95941.0,26.375
35367,62834,1993-10-29,EC,95941.0,27.5
35368,62834,1993-11-30,EC,95941.0,24.0
35369,62834,1993-12-31,EC,96078.0,24.375
35370,62834,1994-01-31,EC,96078.0,26.25
35371,62834,1994-02-28,EC,96078.0,27.5
35372,62834,1994-03-31,EC,96078.0,27.75
35373,62834,1994-04-29,EC,95946.0,26.0
35374,62834,1994-05-31,EC,95946.0,26.875
35375,62834,1994-06-30,EC,95946.0,25.25
35376,62834,1994-07-29,EC,96608.0,24.5
35377,62834,1994-08-31,EC,96608.0,26.875
35378,62834,1994-09-30,EC,95842.0,26.875
35379,62834,1994-10-31,EC,95842.0,23.5
35380,62834,1994-11-30,EC,95232.0,22.0
35381,62834,1994-12-30,EC,95232.0,22.125
35382,62834,1995-01-31,EC,95232.0,24.875
35383,62834,1995-02-28,EC,95232.0,26.375
35384,62834,1995-03-31,EC,95232.0,29.625
35385,62834,1995-04-28,EC,95098.0,38.375
35386,62834,1995-05-31,EC,95098.0,41.75
35387,62834,1995-06-30,EC,95495.0,42.875
35388,62834,1995-07-31,EC,143243.0,30.375
35389,62834,1995-08-31,EC,143243.0,28.375
35390,62834,1995-09-29,EC,144131.0,25.375
35391,62834,1995-10-31,EC,144131.0,24.875
35392,62834,1995-11-30,EC,144051.0,23.375
35393,62834,1995-12-29,EC,144051.0,21.75
35394,62834,1996-01-31,EC,144051.0,23.125
35395,62834,1996-02-29,EC,144051.0,20.375
35396,62834,1996-03-29,EC,143700.0,23.375
35397,62834,1996-04-30,EC,143716.0,25.125
35398,62834,1996-05-31,EC,143716.0,24.5
35399,62834,1996-06-28,EC,143716.0,23.0
35400,62834,1996-07-31,EC,143718.0,20.5
35401,62834,1996-08-30,EC,143873.0,20.375
35402,62834,1996-09-30,EC,143873.0,23.0
35403,62834,1996-10-31,EC,143873.0,18.25
35404,62834,1996-11-29,EC,143873.0,19.5
35405,62834,1996-12-31,EC,143851.0,19.125
35406,62834,1997-01-31,EC,143851.0,19.875
35407,62834,1997-02-28,EC,143851.0,22.125
35408,62834,1997-03-31,EC,143851.0,21.0
35409,62834,1997-04-30,EC,147295.0,21.0
35410,62834,1997-05-30,EC,147295.0,21.625
35411,62834,1997-06-30,EC,144216.0,20.9375
35412,62834,1997-07-31,EC,144216.0,21.5
35413,62834,1997-08-29,EC,144309.0,20.875
35414,62834,1997-09-30,EC,144309.0,21.5625
35415,62834,1997-10-31,EC,144309.0,17.375
35416,62834,1997-11-28,EC,144309.0,17.8125
35417,62834,1997-12-31,EC,144466.0,17.375
35418,62834,1998-01-30,EC,144466.0,16.5625
35419,62834,1998-02-27,EC,144466.0,18.125
35420,62834,1998-03-31,EC,144466.0,19.0
35421,62834,1998-04-30,EC,144605.0,21.125
35422,62834,1998-05-29,EC,144549.0,20.8125
35423,62834,1998-06-30,EC,144549.0,20.25
35424,62834,1998-07-31,EC,144549.0,20.875
35425,62834,1998-08-31,EC,144508.0,18.375
35426,62834,1998-09-30,EC,144508.0,17.6875
35427,62834,1998-10-30,EC,144508.0,21.0
35428,62834,1998-11-30,EC,143249.0,19.3125
35429,62834,1998-12-31,EC,143249.0,19.5
35430,62834,1999-01-29,EC,143249.0,19.5625
35431,62834,1999-02-26,EC,143249.0,17.8125
35432,62834,1999-03-31,EC,143603.0,16.9375
35433,62834,1999-04-30,EC,143603.0,19.1875
35434,62834,1999-05-28,EC,143644.0,20.25
35435,62834,1999-06-30,EC,143644.0,22.625
35436,62834,1999-07-30,EC,143644.0,22.3125
35437,62834,1999-08-31,EC,125902.0,19.9375
35438,62834,1999-09-30,EC,125902.0,18.25
35439,62834,1999-10-29,EC,125902.0,17.625
35440,62834,1999-11-30,EC,125902.0,16.8125
35441,62834,1999-12-31,EC,125839.0,18.875
35442,62834,2000-01-31,EC,125839.0,15.9375
35443,62834,2000-02-29,EC,125839.0,13.625
35444,62834,2000-03-31,EC,125591.0,15.125
35445,62834,2000-04-28,EC,125591.0,17.5625
35446,62834,2000-05-31,EC,127616.0,17.5625
35447,62834,2000-06-30,EC,127616.0,17.0625
35448,62834,2000-07-31,EC,127616.0,18.0625
35449,62834,2000-08-31,EC,127699.0,18.75
35450,62834,2000-09-29,EC,127699.0,16.25
35451,62834,2000-10-31,EC,127699.0,20.875
35452,62834,2000-11-30,EC,127780.0,19.6875
35453,62834,2000-12-29,EC,127780.0,20.375
35454,62834,2001-01-31,EC,127780.0,22.55
35455,62834,2001-02-28,EC,127780.0,23.93
